1,2019-11-01,1043
2,2019-11-02,1119
3,2019-11-03,878
4,2019-11-04,1197
5,2019-11-05,1156
6,2019-11-06,1142
7,2019-11-07,826
8,2019-11-08,948
9,2019-11-09,1153
10,2019-11-10,826
11,2019-11-11,841
12,2019-11-12,1017
13,2019-11-13,1022
14,2019-11-14,945
15,2019-11-15,979
16,2019-11-16,925
17,2019-11-17,885
18,2019-11-18,1041
19,2019-11-19,1123
20,2019-11-20,1111
21,2019-11-21,841
22,2019-11-22,937
23,2019-11-23,1008
24,2019-11-24,1087
25,2019-11-25,817
26,2019-11-26,1171
27,2019-11-27,1200
28,2019-11-28,917
29,2019-11-29,1194
30,2019-11-30,1196
31,2019-12-01,1182
32,2019-12-02,1186
33,2019-12-03,874
34,2019-12-04,904
35,2019-12-05,932
36,2019-12-06,820
37,2019-12-07,813
38,2019-12-08,1100
39,2019-12-09,818
40,2019-12-10,815
41,2019-12-11,1064
42,2019-12-12,956
43,2019-12-13,878
44,2019-12-14,905
45,2019-12-15,1101
46,2019-12-16,1015
47,2019-12-17,1152
48,2019-12-18,1143
49,2019-12-19,883
50,2019-12-20,1095
51,2019-12-21,924
52,2019-12-22,1131
53,2019-12-23,1164
54,2019-12-24,1048
55,2019-12-25,917
56,2019-12-26,1123
57,2019-12-27,866
58,2019-12-28,812
59,2019-12-29,1113
60,2019-12-30,930
61,2019-12-31,807
